"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","DEMAND","type"
2026-09-01,26.6234860730291,20284.9310246332,17543.5168190809,13415.0923034285,23507.3299701692,"Forecast"
2026-10-01,39.5284026102333,17812.901432037,15002.3012919885,11281.8427426622,21196.5802893547,"Forecast"
2026-11-01,32.687753996572,18203.6411507291,15787.9659206459,11668.2105406875,20399.4143014558,"Forecast"
2026-12-01,23.7467530134359,18435.4312894581,16286.7274177724,11998.3911429479,20563.6901583796,"Forecast"
2027-01-01,41.9271962189262,17849.9858349861,15580.8882181281,11569.7814387589,20581.10519254,"Forecast"
2027-02-01,43.7963422007204,18915.5236900173,16191.8118074585,12366.1377249537,21708.0560939304,"Forecast"
2027-03-01,7.04055915294123,21218.4039549174,17037.7200444502,14816.2862112127,22983.5217069949,"Forecast"
2027-04-01,28.3676710861021,21476.9630808338,16820.2284408536,14506.5447017954,26802.996218882,"Forecast"
2027-05-01,10.2568349196743,22774.9529122818,17722.3752031102,15215.1441325282,27785.5146147316,"Forecast"
2027-06-01,26.2070000546004,22333.5411915311,17303.073936359,15551.4474041458,28980.8268432197,"Forecast"
2027-07-01,6.03142966483175,22783.8483798676,16968.9135720125,16334.2749246426,27020.2507140162,"Forecast"
2027-08-01,7.9215184487669,20976.9054404992,16781.046874536,14710.9077272437,25798.5269911319,"Forecast"
2027-09-01,-13.3859335720164,21012.6523397074,17217.5595708963,14184.2003387753,22752.524279825,"Forecast"
2027-10-01,2.04019219576876,18540.9249071936,15632.9490822907,12050.9508512981,20513.2095970898,"Forecast"
2027-11-01,-7.3000516437249,18931.9181200568,16120.9987018167,12437.3187067425,19642.2109132089,"Forecast"
2027-12-01,-13.5296527867004,19163.9152874336,16515.3353723475,12767.4993539882,19978.37195289,"Forecast"
2028-01-01,4.39094802206104,18578.6458610584,16007.6552834186,12338.8896850434,19921.1664428068,"Forecast"
2028-02-01,6.29325923393893,19644.3361737087,16455.4388047108,13135.2459988505,20928.1391175817,"Forecast"
2028-03-01,-32.7312998061417,21947.34579194,17051.9143251538,15585.3945067426,22038.9272988989,"Forecast"
2028-04-01,-12.0635597149569,22206.0135809815,16877.9671506494,15275.653014274,25730.1348825469,"Forecast"
2028-05-01,-27.1703387821814,23504.0955397675,17653.3676971541,15984.2524582854,27184.5565657382,"Forecast"
2028-06-01,-15.8728708253121,23062.7623982047,17227.8497960528,16320.5557403062,27982.818372441,"Forecast"
2028-07-01,-33.2635474450356,23513.136311018,17056.6942257072,17103.3832689534,26181.7393759902,"Forecast"
2028-08-01,-30.8804237241472,21706.249846636,16906.36017096,15480.0160779401,25120.3345193387,"Forecast"
2028-09-01,-49.9687549602817,21742.0446399063,17307.890173111,14953.3086944745,21948.5955065356,"Forecast"
2028-10-01,-36.9530723366178,19270.3578986229,16029.4126837905,12820.0592109168,19640.8238689093,"Forecast"
2028-11-01,-44.071348314562,19661.3856519545,16424.0408670516,13206.427069432,18838.3689777195,"Forecast"
2028-12-01,-51.048508032781,19893.4121102715,16703.4735483787,13536.6077190835,18976.2705868735,"Forecast"
2029-01-01,-33.2034607378728,19308.1675325781,16325.2602458581,13107.9980520235,19035.5405739495,"Forecast"
2029-02-01,-31.7666402024047,20373.878936468,16655.4786949386,13904.3543673074,20144.6826052839,"Forecast"
2029-03-01,-69.7740793391163,22676.9064537959,17104.6575240814,16354.5028763564,21358.2558824056,"Forecast"
2029-04-01,-48.9912138391298,22935.5894287286,16982.1258863852,16044.7613847942,25126.7882979394,"Forecast"
2029-05-01,-65.2982531353841,24233.6842722618,17508.8135852098,16753.3608295157,26335.7434664938,"Forecast"
2029-06-01,-52.3795006351071,23792.3620645867,17241.7382809476,17089.6641120928,27381.4961590013,"Forecast"
2029-07-01,-70.1810864225034,24242.7452556055,17086.3549764568,17872.491641176,25516.971685013,"Forecast"
2029-08-01,-68.623446702173,22435.8666638719,16980.4860356496,16249.1244505041,24366.1153446692,"Forecast"
2029-09-01,-88.5761361396205,22471.6681371982,17244.3420332625,15722.4170673061,21277.4386550758,"Forecast"
2029-10-01,-74.6738045310674,19999.9870642575,16347.789266646,13589.167583958,19000.4787874971,"Forecast"
2029-11-01,-82.5699786689439,20391.0196274441,16624.217733896,13975.5354426374,18168.0320082935,"Forecast"
2029-12-01,-89.7055272166157,20623.0501670694,16834.0812791767,14305.7160924176,18408.1988842001,"Forecast"
